lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
84-277,LA4002,powell,240.0,0.245,41.18990150931879,12.157150092075511,16.189901509318783,41.18990150931879,argon
84-277,LA4002,powell,250.0,0.248,41.39105846990031,12.177826289379707,16.391058469900308,41.39105846990031,argon
84-277,LA4002,powell,260.0,0.2715,41.32186234871705,12.118325167173044,16.32186234871705,41.32186234871705,argon
84-277,LA4002,powell,270.0,0.2425,41.35278792204467,12.332883067011664,16.35278792204467,41.35278792204467,argon
84-277,LA4002,powell,280.0,0.2265,57.2304577034872,11.42592676491248,32.2304577034872,57.2304577034872,argon
84-277,LA4002,powell,290.0,0.238,41.1925258247179,12.125053235557749,16.192525824717897,41.1925258247179,argon
84-277,LA4002,powell,300.0,0.258,41.32521047081583,12.194027654534024,16.325210470815836,41.32521047081583,argon
84-277,LA4002,grid_search,150.0,0.217,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,160.0,0.204,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,170.0,0.212,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,180.0,0.213,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,190.0,0.205,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,200.0,0.213,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,210.0,0.236,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,220.0,0.222,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,230.0,0.208,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,240.0,0.222,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,250.0,0.202,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,260.0,0.193,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,270.0,0.179,56.0,11.4375,31.0,56.0,argon
84-277,LA4002,grid_search,280.0,0.208,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,290.0,0.212,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,grid_search,300.0,0.222,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
84-277,LA4002,bayesian,150.0,0.19,46.2183541092254,13.233520336578511,21.2183541092254,46.2183541092254,argon
84-277,LA4002,bayesian,160.0,0.1875,46.21835402763152,13.233520319340494,21.21835402763152,46.21835402763152,argon
84-277,LA4002,bayesian,170.0,0.1965,46.37088502351334,13.229911389874337,21.370885023513345,46.37088502351334,argon
84-277,LA4002,bayesian,180.0,0.1885,46.21835458522136,13.233520441084169,21.21835458522136,46.21835458522136,argon
84-277,LA4002,bayesian,190.0,0.2065,46.36800237305849,13.2249060031317,21.368002373058488,46.36800237305849,argon
84-277,LA4002,bayesian,200.0,0.181,46.36799961616918,13.22490593075348,21.36799961616918,46.36799961616918,argon
84-277,LA4002,bayesian,210.0,0.1865,46.21835416095422,13.233520341744867,21.218354160954217,46.21835416095422,argon
84-277,LA4002,bayesian,220.0,0.1935,46.368005207621735,13.224905935902957,21.36800520762173,46.368005207621735,argon
84-277,LA4002,bayesian,230.0,0.183,46.21835408582781,13.233520325584044,21.218354085827816,46.21835408582781,argon
84-277,LA4002,bayesian,240.0,0.1885,46.21835378826565,13.233520244158342,21.21835378826565,46.21835378826565,argon
84-277,LA4002,bayesian,250.0,0.1865,46.21835426954416,13.23352038173734,21.218354269544168,46.21835426954416,argon
84-277,LA4002,bayesian,260.0,0.1995,46.21835443900093,13.233520382723684,21.218354439000933,46.21835443900093,argon
84-277,LA4002,bayesian,270.0,0.205,46.21835421423754,13.233520414264792,21.218354214237543,46.21835421423754,argon
84-277,LA4002,bayesian,280.0,0.1835,46.21835444394176,13.233520493425742,21.218354443941767,46.21835444394176,argon
84-277,LA4002,bayesian,290.0,0.194,46.36799965013586,13.224905992053236,21.367999650135864,46.36799965013586,argon
84-277,LA4002,bayesian,300.0,0.1935,46.21835430641804,13.23352032474384,21.218354306418043,46.21835430641804,argon
LA4647,84-277,differential_evolution,150.0,0.251,38.84190221020692,9.710935912521096,13.841902210206918,38.84190221020692,argon
LA4647,84-277,differential_evolution,160.0,0.2625,38.84001051790008,9.725732288247064,13.840010517900076,38.84001051790008,argon
LA4647,84-277,differential_evolution,170.0,0.252,38.87457600475871,9.700832137232675,13.874576004758708,38.87457600475871,argon
LA4647,84-277,differential_evolution,180.0,0.2575,38.831667607951545,9.724208643258434,13.831667607951545,38.831667607951545,argon
LA4647,84-277,differential_evolution,190.0,0.2665,38.94463871867732,9.701846397510469,13.944638718677318,38.94463871867732,argon
LA4647,84-277,differential_evolution,200.0,0.244,38.84445099245629,9.7327502697327,13.844450992456288,38.84445099245629,argon
LA4647,84-277,differential_evolution,210.0,0.259,38.92789614997434,9.702853657560782,13.927896149974336,38.92789614997434,argon
LA4647,84-277,differential_evolution,220.0,0.255,38.88184546679685,9.700321128662043,13.881845466796848,38.88184546679685,argon
LA4647,84-277,differential_evolution,230.0,0.248,38.85627961928897,9.707788057882183,13.85627961928897,38.85627961928897,argon
LA4647,84-277,differential_evolution,240.0,0.2715,38.9112963434082,9.71057112425592,13.911296343408203,38.9112963434082,argon
LA4647,84-277,differential_evolution,250.0,0.239,38.89438439962467,9.702418623434248,13.89438439962467,38.89438439962467,argon
LA4647,84-277,differential_evolution,260.0,0.243,38.789952784335135,9.70037637874491,13.789952784335137,38.789952784335135,argon
LA4647,84-277,differential_evolution,270.0,0.24,38.904030930015885,9.709551773991551,13.904030930015884,38.904030930015885,argon
LA4647,84-277,differential_evolution,280.0,0.254,38.84256120774598,9.705540709041976,13.84256120774598,38.84256120774598,argon
LA4647,84-277,differential_evolution,290.0,0.2565,38.84033412540124,9.722972436724351,13.840334125401242,38.84033412540124,argon
LA4647,84-277,differential_evolution,300.0,0.258,38.85038241907308,9.70760605210372,13.850382419073078,38.85038241907308,argon
LA4647,84-277,dual_annealing,150.0,0.2425,38.84608326534539,9.717047414928476,13.84608326534539,38.84608326534539,argon
LA4647,84-277,dual_annealing,160.0,0.243,38.87165556135911,9.72970420048352,13.871655561359104,38.87165556135911,argon
LA4647,84-277,dual_annealing,170.0,0.243,38.93290651199142,9.822293498516682,13.932906511991415,38.93290651199142,argon
LA4647,84-277,dual_annealing,180.0,0.2495,38.856965007708254,9.727306905688646,13.856965007708252,38.856965007708254,argon
LA4647,84-277,dual_annealing,190.0,0.2465,38.81243231902956,9.704497887634854,13.81243231902956,38.81243231902956,argon
LA4647,84-277,dual_annealing,200.0,0.2395,38.97398707262268,9.832796863424871,13.973987072622672,38.97398707262268,argon
LA4647,84-277,dual_annealing,210.0,0.2465,38.809690572393045,9.704497887634854,13.809690572393045,38.809690572393045,argon
LA4647,84-277,dual_annealing,220.0,0.2595,38.863783778342025,9.724353209953758,13.863783778342023,38.863783778342025,argon
LA4647,84-277,dual_annealing,230.0,0.2495,38.87876417941179,9.747612513143576,13.87876417941179,38.87876417941179,argon
LA4647,84-277,dual_annealing,240.0,0.2415,38.886778689325,9.781672727245134,13.886778689325002,38.886778689325,argon
LA4647,84-277,dual_annealing,250.0,0.2445,38.88337849268463,9.74207482065964,13.883378492684631,38.88337849268463,argon
LA4647,84-277,dual_annealing,260.0,0.2475,38.84750743447592,9.709764051061736,13.84750743447592,38.84750743447592,argon
LA4647,84-277,dual_annealing,270.0,0.2445,38.79491940381273,9.704497887634854,13.794919403812733,38.79491940381273,argon
LA4647,84-277,dual_annealing,280.0,0.233,38.87208508143465,9.7748651317473,13.872085081434651,38.87208508143465,argon
LA4647,84-277,dual_annealing,290.0,0.2545,38.85070720283496,9.709764051061736,13.85070720283495,38.85070720283496,argon
LA4647,84-277,dual_annealing,300.0,0.238,39.01705030749481,9.885632732871006,14.017050307494811,39.01705030749481,argon
LA4647,84-277,nelder_mead,150.0,0.0025,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006,argon
