lens1,lens2,coupling,z_l1,z_l2,z_fiber,total_length,spot_radius,output_angle,f1_eff,f2_eff,size_match,angle_match,method
36-685,49-964,0.019993397647209338,27.0,103.0,236.0,236.0,2.250570857465097,30.421674240482865,70.0363701112814,66.70823307405354,0.32254713523438905,0.17441593391294052,paraxial
LA4158,LA4647,0.01998425823198796,47.0,363.32500000000005,392.75000000000006,392.75000000000006,0.9670119203677421,48.0560479965459,209.14522365093123,16.731617892074496,0.804497132539364,0.06989663615998992,paraxial
48-669,LA4012,0.01996631413216237,37.0,71.0,697.9000000000001,697.9000000000001,0.8657932481169417,49.71095843490724,30.02597949979891,416.8355240068994,0.8600872996610431,0.06532029055071932,paraxial
48-279,LA4025,0.01993375904769204,57.0,410.01,612.41,612.41,0.5744666802651516,53.38785512665573,145.91061994360186,333.5411653702677,0.9904088515998393,0.05663272175656309,paraxial
48-282,84-285,0.019926968994392683,57.0,559.44,804.44,804.44,0.18873994614682987,42.32117040605815,333.52297882908067,100.06234961108032,0.6221526377294064,0.09012329079206123,paraxial
36-684,LA4014,0.01991691161020288,27.0,173.5,831.65,831.65,1.4496076255623485,40.42977796942353,60.03377245841078,625.2532860103493,0.5674989610465813,0.09875285682915988,paraxial
48-275,48-280,0.01984221890451355,37.0,107.055,434.935,434.935,0.19123415958004375,42.681712871397785,62.54351514222195,166.7342096027598,0.6301069625885648,0.08860713634983722,paraxial
36-686,LA4023,0.01983184909550548,27.0,76.375,647.625,647.625,0.8628287768376003,49.926040043925234,22.514937989552422,291.89398605195186,0.8617034123664943,0.06475870260236419,paraxial
LA4009,LA4025,0.019829452905251337,57.0,365.15,867.55,867.55,2.5105077939384612,28.0523654802223,291.89398605195186,333.5411653702677,0.27201325744503213,0.2051225486004484,paraxial
36-684,48-278,0.0198078021450398,27.0,92.5,339.43,339.43,1.650009265116398,37.682860076340326,60.03377245841078,125.10521682563096,0.49030279267171994,0.11367492213352492,paraxial
LA4003,LA4102,0.019800262085591998,37.0,57.6,461.9,461.9,1.4021574035285091,41.26189537631551,29.098465899259995,167.31617892074496,0.5876376970350512,0.09480997537122249,paraxial
LA4025,LA4236,0.01979551813159815,27.0,529.4,736.5749999999999,736.5749999999999,2.372864391492403,29.359864527699646,333.5411653702677,104.57261182546561,0.29745092949084706,0.18725968399397946,paraxial
LA4021,LA4924,0.019788127481101182,67.0,137.5,491.7,491.7,3.747452451775568,2.2769081715870736,25.097426838111748,146.40165655565187,0.13152635355903533,0.4233354743306726,paraxial
LA4041,LA4647,0.01977568027810891,37.0,1740.8,1785.3,1785.3,0.09591437588961194,27.24328311872936,708.7295100588512,16.731617892074496,0.2558530989655748,0.2174870955051489,paraxial
48-279,48-282,0.019747841899831458,37.0,390.01,742.45,742.45,1.4867710149789555,40.05271271707033,145.91061994360186,333.52297882908067,0.5522349323048801,0.10062097230301847,paraxial
LA4027,LA4327,0.019733410460679973,37.0,601.9,670.1875,670.1875,1.9669132826602338,33.73355706229006,375.18834468858364,62.743567095279374,0.39144142871759774,0.14184959643063041,paraxial
19-518,70-886,0.019656053605659387,27.0,49.0,60.599999999999994,60.599999999999994,5.44793321203106,11.666302135303777,13.483318641313135,6.6744606156427615,0.057717904631295926,0.9582493087059312,paraxial
21-199,70-886,0.019656053605659387,27.0,49.0,60.599999999999994,60.599999999999994,5.44793321203106,11.666302135303777,13.483318641313135,6.6744606156427615,0.057717904631295926,0.9582493087059312,paraxial
LA4007,LA4647,0.019655760098934022,47.0,267.75,289.63750000000005,289.63750000000005,0.4300809817146079,53.71817847123486,208.4177620034497,16.731617892074496,0.9887187281820795,0.05593837232787028,paraxial
48-024,LA4010,0.019651654631976313,27.0,52.795,554.6949999999999,554.6949999999999,0.9057406340613762,49.46555479187136,20.841776200344974,333.5411653702677,0.8381953629896267,0.06597001944423227,paraxial
49-959,LA4003,0.019639862662222698,27.0,93.0,166.1,166.1,5.428360219121938,13.040106160415668,25.00649413217656,29.098465899259995,0.058215825852566114,0.9492708104287895,paraxial
48-275,72-493,0.019638681396760366,27.0,181.43,203.93,203.93,1.516058609555437,39.735449707172556,62.54351514222195,8.636085455572834,0.5405164947990688,0.10223417948849488,paraxial
48-275,72-513,0.019638681396760366,27.0,181.43,203.93,203.93,1.516058609555437,39.735449707172556,62.54351514222195,8.636085455572834,0.5405164947990688,0.10223417948849488,paraxial
LA4010,LA4041,0.01961883979155811,67.0,418.9,2122.7,2122.7,2.3931458252550013,29.296448828059464,333.5411653702677,708.7295100588512,0.2935240180834837,0.1880712537921297,paraxial
